Date,WellName,WT GL,WT GOR,WT LIQ,WT Oil,WT THP,WT WCT,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10,Z4 BHP*10,Z6 BHP*10,Z5 BHP*10,Z7 BHP*10,Forecast IB-25,Forecast Last RoFo,WI Rate,WI BHP,WI THP,WI IB25,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10
6/27/2024 0:00,codfish-40,1.317312914,193.0126365,4182.526453,410.0146189,91.01011856,9019.696293,13140,6870,6680,,,,,,,,6700,950,,13140,6870,6680
7/28/2024 0:00,codfish-40,1.316810131,314.4619141,4050.202881,368.4763489,90.72467804,9090.227509,13230,6780,6580,,,,,,,,6630,990,,13230,6780,6580
8/19/2024 0:00,codfish-40,1.317437887,236.8970642,4096.312988,467.9232483,90.787323,8857.696533,13290,6810,6600,,,,,,,,6650,1000,,13290,6810,6600
11/4/2024 0:00,codfish-40,1.31683445,192.6608429,4505.857422,404.5549622,91.74199677,9102.157593,13520,7060,6850,,,,,,,,6900,1020,,13520,7060,6850
11/30/2024 0:00,codfish-40,1.318539858,374.1451416,4433.945801,248.396225,91.64375305,9439.785004,13590,7060,6850,,,,,,,,6890,980,,13590,7060,6850
12/1/2024 0:00,codfish-40,1.318165064,318.440094,4516.07959,326.2973022,91.69470215,9277.476501,13600,7070,6860,,,,,489.4842499,,,6890,990,0,13600,7070,6860
12/27/2024 0:00,codfish-40,1.318062186,411.6859436,4622.420898,256.3029175,91.81014252,9445.522308,13690,7180,6960,,,,,,,,7010,1030,,13690,7180,6960
1/5/2025 0:00,codfish-40,1.317507386,152.4794922,4687.121094,344.2601624,91.91901398,9265.518951,13720,7160,6950,,,,,,,,6980,1000,,13720,7160,6950
1/23/2025 0:00,codfish-40,1.317481756,348.23703,4625.174316,307.0816956,91.62368774,9336.064911,13760,7140,6930,,,,,,,,6940,970,,13760,7140,6930
4/1/2025 0:00,codfish-40,1.308845997,1146.31311,7123.690918,777.8820496,107.2114716,8908.029556,13810,8040,7800,,,,,473.5666842,376.6428187,,7620,1130,0,13810,8040,7800
5/11/2023 0:00,codfish-51,1.355515224,730.7559437,5753.371758,1382.503626,94.09171397,7597.054937,,6620,,,,,,,,,6640,1020,,,6620,
5/15/2023 0:00,codfish-51,1.356049996,735.6785667,5729.439949,1354.456637,93.72875579,7635.970272,,6630,,,,,,,,,6640,970,,,6630,
6/20/2023 0:00,codfish-51,1.362802148,1264.822886,5835.408454,858.3174214,94.54863457,8529.121949,,6720,,,,,,,,,6810,1000,,,6720,
6/28/2023 0:00,codfish-51,1.363024907,1149.546228,5746.839769,879.5031503,94.30928564,8469.588181,,6710,,,,,,,,,6730,1030,,,6710,
7/21/2023 0:00,codfish-51,1.362994148,775.3763736,6002.227832,1401.945873,94.73556758,7664.290807,,6900,,,,,,,,,6790,1040,,,6900,
9/20/2023 0:00,codfish-51,1.533331857,3528.101054,7556.379459,1126.103299,115.8983598,8509.731671,,7560,,,,,,,,,7320,1220,,,7560,
10/2/2023 0:00,codfish-51,1.533267401,656.5515199,5831.854854,1430.807235,101.0795163,7546.565765,,6860,,,,,,,,,6850,1040,,,6860,
12/16/2023 0:00,codfish-51,1.533130083,1201.998687,4998.166992,512.0104563,98.69482333,8975.603542,,6880,,,,,,,,,6920,1020,,,6880,
1/8/2024 0:00,codfish-51,1.53366062,825.6300416,3874.03796,578.0633823,97.65307509,8507.853077,,6650,,,,,,,,,6690,1030,,,6650,
1/11/2024 0:00,codfish-51,1.533464054,1259.238715,4222.314921,476.3760004,98.29963421,8871.765822,,6630,,,,,,,,,6670,1020,,,6630,
2/7/2024 0:00,codfish-51,1.533117923,940.2717427,3810.89375,501.1877148,96.7597177,8684.855187,,6550,,,,,,,,,6560,970,,,6550,
2/23/2024 0:00,codfish-51,1.5333384,608.084895,4931.92345,927.2016086,93.19328126,8120,,6640,,,,,,,,,6630,940,,,6640,
